Node,Best Parameters,Accuracy,Anomalies Detected
Node_0,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.8656716417910447,9
Node_1,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9836065573770492,1
Node_2,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9180327868852459,5
Node_3,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9838709677419355,1
Node_4,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.921875,5
Node_5,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9830508474576272,1
Node_6,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9298245614035088,4
Node_7,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9508196721311475,3
Node_8,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9298245614035088,4
Node_9,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9384615384615385,4
Node_10,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9523809523809523,3
Node_11,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9523809523809523,3
Node_12,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9710144927536232,2
Node_13,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9242424242424242,5
Node_14,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9333333333333333,4
Node_15,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9074074074074074,5
Node_16,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9642857142857143,2
Node_17,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9836065573770492,1
Node_18,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9393939393939394,4
Node_19,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",1.0,0
Node_20,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9661016949152542,2
Node_21,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9491525423728814,3
Node_22,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9473684210526315,3
Node_23,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9661016949152542,2
Node_24,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.8727272727272727,7
Node_25,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9298245614035088,4
Node_26,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9814814814814815,1
Node_27,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9333333333333333,4
Node_28,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9411764705882353,4
Node_29,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9482758620689655,3
Node_30,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9242424242424242,5
Node_31,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.967741935483871,2
Node_32,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9180327868852459,5
Node_33,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9516129032258065,3
Node_34,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9423076923076923,3
Node_35,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9636363636363636,2
Node_36,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.8870967741935484,7
Node_37,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9852941176470589,1
Node_38,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9666666666666667,2
Node_39,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.8870967741935484,7
Node_40,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9310344827586207,4
Node_41,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9375,4
Node_42,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9333333333333333,4
Node_43,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9310344827586207,4
Node_44,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9166666666666666,5
Node_45,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9516129032258065,3
Node_46,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9821428571428571,1
Node_47,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9682539682539683,2
Node_48,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.896551724137931,6
Node_49,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9622641509433962,2
